,company,job,title,question,answer
82,(주)에이텍시스템,IT/웹/통신,"개인적인 정보 왜이렇게 물어보실까요? 결혼여부 애낳을건지여부^^""","결혼, 애낳을건지 물어봤는데 안낳는다니까 출산율 얘기까지 제가 들어야하나요^^!",저얘기 듣자마자 기분이 상해서 대충 대답하고 대충 면접봤습니다 저런 질문이나 들으니까 더 애낳기싫어짐
83,ADATA Korea,IT/웹/통신,"이해할 수 있는 질문, 경력에 맞는 상식적인 대화, 경영진의 유연함을 확인""",야근을 해도 버틸수 있는가? 나의 5년 후 모습에 대해 심도있게 물어봤습니다.,"야근은 가능, 5년 후 팀장"
84,(주)티앤에스인터내셔널,IT/웹/통신,"다대다 면접이였는데 전반적인 흐름자체가 압박면접이였음.어려운 질문을 해서 압박면접인게 아니라 대답하면 꼬리에 꼬리를 잡아 거의 시비 거는 수준이였음""",무역용어에 대해서 얼마나 이해하는지 알아볼려는 의도였는지 CY가 뭔지 얘기해보라고 했음,답변이 어떻던간에 상대방의 말을 존중하는 태도 1도 없고 어떻게든 흠집잡아 연봉을 깍을려는 의도가 보여서 면접 중간부터는 대충 대답함
85,한성컴퓨터(주),IT/웹/통신,"보통 회사 면접이랑 같음 다를 수도 있겠다..""","** 상황에서 어떻게 할 것인지
스트레스 관리 잘하는지
** 상황에서는 또 어떻게 할건지",합이든 불이든 연락 주셨으면
86,티에스라인시스템(주),IT/웹/통신,"계약직이라서 상주하는 프로젝트로 가서 pm,pl 하고 면접 진행하고 편안한 분위기""","이력서에 있는 프로젝트 내용으로 질문 및 사용한 기술에 대한 질문, 그리고 해당 프로젝트에 대한 업무 설명 들음",편안한 분위기로 면접진행
87,모뉴엘(주),IT/웹/통신,"야근가능여부와 디자인에 대한 질문을 위주로 했고 이전 경력에 대해 상세히 물어봄""",새로운 부서에 적응을 잘 할 수 있는지 묻기 위한 질문으로 성격이 활발한 편인지 차분한지 물어봤음,활발한 편이지만 일하는 동안은 차분해진다고 대답
88,(주)이노앤시스,IT/웹/통신,"구직사이트 이력서 제출후 며칠후 연락이왔다""",어떤걸 배우고싶은지 회사의 궁금한점 회사가 하는일,압박면접은 하나도 없었고 부드러운 분위기에서 진행됐었다
89,(주)투비스마트,IT/웹/통신,"대표님과의 직접 면접 2회를 통해 기존 업무경력 및 입사 후 사업 & 영업-마케팅 방향성을 논의하는 방식으로 매우 편안하고 자유롭게 면접을 마무리하였으며, 이후 입사 일정 상호 조율 후 입사""","투비스마트의 성장 가능성?
투비스마트의 향후 사업영역 확장 및 방향성?
본인의 커리어 성장을 위한 노력과 과정?",자유롭고 개방적인 대화식 면접 진행으로 평가/삼사 대상이라기 보다는 함꼐 일하고자 하는 동료를 맞이하는 느낌
90,초이스테크놀로지(주),IT/웹/통신,"면접은 편안한 분위기에서 봄, 자기소개 등 얘기하였음""","출퇴근거리, 경력관련질문, 연봉 질문",소기업이다보니 배울점은 많지 않을듯 싶습니다
91,(주)디지아이,IT/웹/통신,"면접 연락이 문자로 오는데 우선 면접 의향 있냐고 물어봅니다. (상세한 내용 포함)
면접 본다고 하면 무슨 동영상 보내주는데 대충 어떤 회사인지 알려주는 홍보 동영상같은거에요 대충대충 봄
면접보러가면 무슨...""","개인 신상에 대한거 물어보는데 이 부분에서 아 요새 회사는 아니구나 약간 느낌 남
전 직장 업무 방식을 상세하게 물어봄
왜 전 직장에서 받은 연봉보다 희망 연봉이 높은지 물어봄 (많이 받고 싶은건 당연한거 아닌가)","대표하고 인사담당은 비교적 젊음
나이 많은 본부장이 개인 신상 물어보는데 뭐 기분 나쁜 수준은 아니고 그냥 아 나이 많은 사람이라 그렇구나 이런 느낌
1:3으로 하다보니 좀 긴장되는 부분 있는데 면접 진행하다보니 괜찮아짐
이직 사유에 대해 좀 집착하는 느낌
교통비 받음 (정말 교통비)
야근에 대한 생각을 물어보는데 느낌상 야근이 많을 것 같음"
