,company,job,title,question,answer
24,메타빌드(주),IT/웹/통신,"문자로 연락이 와서 면접일자 통보받은 후 면접보러 방문함.
면접전 간단한 테스트가 진행되었음""","야근이 많은데 괜찮은가
포괄 초봉 35이며 이외수당 없는데 괜찮은가
다른회사 붙은곳은 없는가",불필요한 질문이 너무 많았습니다. 제 역량에 대한 질문이 아닌 그 외적인 부분에 대한 질문을 물어보는것이 불편하게 느껴졌습니다.
25,(주)티맥스핀테크,IT/웹/통신,"코딩테스트보고 최종면접
최종면접은 1대3으로 진행됨. 면접비 안줘서 아쉽""","실시간 통신을 하는 방법 소켓말고 어떻게 할 수 있을지
useState 동작 방식
싱글톤패턴이란?","프론트엔드로 면접봤는데, 면접관이 react에 대해서 잘 모르는것 같았음."
26,엔시큐어(주),IT/웹/통신,"인사팀 담당자분께 면접 관련한 연락을 받았었고, 면접은 다대일로 진행됐었습니다""",업무로 인한 스트레스를 어떻게 풀 것인가 라는 질문을 받았던게 기억에 납니다,큰 부담감 없이 면접을 준비해도 됩니다
27,(주)티오더,IT/웹/통신,"맘에안듬 이것저것 질문이 방대하게 많음.........................""","가족관계, 경력사항, 앞으로하고싶은일, 취미등등..............",없음
28,(주)대흥정보,IT/웹/통신,"면접관으로 남자 2분이 들어오셨고 개발지식보다는 술, 담배 여부와
야근여부 등을 물어봄""","주량이 얼마나 되시나요?
담배는 얼마나 피시나요?
일이 생겨서 야근을 해야하는데 약속이 있으면 어떻게 하실껀가요?",업무와 상관없는 질운을 많이함
29,오티아이(주),IT/웹/통신,"지원 후 전화로 연락해 면접일정 잡았으며 분위기 괜찮음""","프로젝트 경험(어려웠던 프로젝트는 무엇인지 어떻게해결했는지)
개발 경험",편안한 분위기로 괜찮았음
30,한국소프트랩(주),IT/웹/통신,"1차 면접에서 조인 관련한 질문 및 코딩테스트 후 1차 합격시 2차 임원 혹은 대표 면접으로 이어집니다.""",조인이란 무엇인가? 그 외 질문은 잘 기억나지 않습니다.,그냥 아는 선에서 답변을 하면 됩니다.
31,(주)송아리아이티,IT/웹/통신,"CTO와 CEO 차례로 면접을 봤다. 기본적인 웹 개발 개념에 대한 질문이 많았음.""","포트폴리오에 작성했던 프로젝트에 대한 설명과 사용한 기술 위주로 물어보셨다. 웹 소켓, 웹 렌더링 과정, 리액트 상태관리 등",CTO분이 무척 친절하셨다. 떨어졌어도 배울 게 많은 면접이었다
32,(주)클라우디파이,IT/웹/통신,"근무지와 다른곳에서 면접, 딕션이 좋았던 면접관들..
어떻게 그렇게 말하지..?""","딱히 없는거같은데 그냥 여느 기업들과 비슷하게 물어봄
자기소개와 포부?",면접관님들 딕션이 좋고 사무실 커피 맛집
33,(주)고래가겜,IT/웹/통신,"분위기는 편안한 편
거의 인성면접이라고 봐도 될 정도로 업무관련은 많이 묻지 않음""",업무관련 질문이 적어서 그동안 해온 업무가 어땠는지? 성과에 대해 묻는게 제일 기억에 남음,면접은 편안하고 사람좋아보였으나.. 면접은 면접일 뿐이라는거
34,(주)모온컴퍼니,IT/웹/통신,"사람인으로 면접 날짜와 시간이 정해져서 제의가 오고 수락하면 바로 대표님과 면접을 진행함""",대표님과 둘이서 면접을 봤고 성격의 장단점과 전 회사에서의 했던 업무들 그리고 받았던 연봉을 물어봤음,편안한 분위기에서 잘 말씀해주시고 그래서 긴장도 덜 되고 떨지 않고 면접을 봤던 거 같다. 부담을 안주셔서 너무 좋았다
35,베스핀글로벌(주),IT/웹/통신,"최초 연락된 뒤 면접은 일정 조정 후 바로 잡혔습니다.""",다대일 면접이었고 이 회사가 어떤일을 하는 회사인가 등의 기본적인 질문,압박하는 식의 면접은 아니었으며 편하게 대화하는 형식의 면접
36,(주)모비루스,IT/웹/통신,"면접보고 당일 합격되어 채용되었습니다.""",너무오래되서 기억은 안나는데 프로젝트 경험에 대해 질문이 기억에 남습니다.,필요한 질문들만 했던거 같아요
