,company,job,title,question,answer
120,(주)코보시스,IT/웹/통신,"지원후 일주일이내로 연락이 와서 면접약속을 잡고,
1차 면접은 3:1 형식으로 직무와 스킬에 관한 인터뷰를 진행했습니다.
ex. 이직 및 퇴사한 계기, 자소서와 포트폴리에오 있는 스킬 질문""","스킬질문(프로그램 사용에 대한), 유튜브 영상관련, 지원자 성격","3:1 형식으로 면접을 보게되니 분위기나 위압감이 없지않아 있었고, 충분한 답변을 소화해 내지 못한것같습니다. 대비를 잘 하셔야 겠습니다."
121,(주)생각하는늑대,IT/웹/통신,"인터뷰 시간을 몇가지로 정리해서 거기서 시간대 골라서 면접 봄 이렇게 본 곳 처음이여서 첫인상은 괜찮았음.""",엠비티아이 물어봄. 그리고 전 회사는 무슨일 하는 회사인가 거기서 맡은 업무가 무엇인가 그런 평범한 질문 받음.,나쁘지도 않고 좋지도 않았다
122,(주)이큐브랩,IT/웹/통신,"여지껏 살면서 겪었던 면접 중 가장 산뜻하고 재밌었습니다. PM 끼리 얘기하는게 즐겁다고 느껴졌습니다.""","포트폴리오의 디테일과 어떻게 진행할까요? 등 지원자의 역량을 뽑낼 수 있는 환경을 만들어주셨고, 이걸 비즈니스 임팩트로 연결지을려면 어떻게 할 것인지에 대한 질문. 평소 데이터에 대한 생각이 많았으므로 편하게 대답했습니다.","직무에 대한 프라이드를 느끼게했던 면접이며, 면접 후기와 오히려 더무 달라서 당황하기도 했습니다"
123,(주)아이트립,IT/웹/통신,"1:1면접으로 이루어졌으며 간소한 질문들이 진행되었습니다""",사는곳이랑 외국어 사용 유무에 대해서 엄격하게 물어봤습니다,편안하게 진행한 면접이었으며 분위기가 좋았던 기억이 납니다
124,(주)스키아,IT/웹/통신,"테스트 이후 테스트를 기반으로 면접을 진행합니다.""","mri나 ct 사진이 아닌 실제 사진을 볼 수 있는데 괜찮겠냐, 해부학 공부를 해야하는데 괜찮느냐, 궁금한 점",평범한 면접 이었습니다. 다만 의료쪽에 종사하셨던 분을 원하는 것 같았습니다.
125,테이블온(주),IT/웹/통신,"전반적으로 평이 하고 편안한 분위기 였다""",경험에 대해서 물어보는 질문이 대다수 였다,괜찮았다
126,로지스팟(주),IT/웹/통신,"서류 사람인지원--1차면접--처우협의 하는 순서대로 진행됩니다""","면접질문
1.로지스팟을 아냐
2.그동안한 해왔던 커리어 대한 질문
3.미래에 대한질문들
등등","흠... 스타트업에서 성장해왔지만
딱 중소와 스타트업 사이에 있는회사?
뭔가 큰뜻을 가지고있지만 결국 바라만보고 있을거 같은 느낌이 많이 들었습니다"
127,텀블벅(주),IT/웹/통신,"서류전형 -> 과제전형 -> 기술면접 -> 임원면접""","1. javascript 관련 질문
2. 로또에 당첨되면 어떻게 할 것인지?
3. 이직사유",사내에서 구성원들이 모두 하나의 목표를 이해하고 싱크가 잘 맞아야 한다는것을 중요하게 생각함
128,(주)쇼우테크,IT/웹/통신,"딱히 면접이랄건 없고 기간제 일할 사람 많이 뽑는 편이다""",공공문서 접해본 적 있는지 무거운거 드는거 괜찮은 지 물어봄,그냥 기간제 아르바이트 뽑는 질문이고 서로 조건만 맞음 되는 것 같다
129,(주)스룩,IT/웹/통신,"이력서 제대로 안 읽고 면접관이 들어옵니다. 이력서도 제대로 확인 안하고 면접비도 안 주면서 왜 오라가라 하는지 이해할수없네요. 스룩은 업무가 별로 없나요? 면접관이면 팀장 이상일텐데 이력서 하나 제대로 안보고...""",이력서에 적힌 기본 사항을 이제서야 봤다는 듯 한 말투가 인상깊었습니다.,면접자에대한 예의가 없는 면접이었습니다. 다신 경험하고싶지 않네요.
130,(주)비지피웍스,IT/웹/통신,"주어진 과제를 제출한 뒤 면접을 두 차례 보고 연봉협상 절차를 거쳐 채용.""","회사의 서비스를 어떻게 개선시킬 수 있는지, 어떤 방식으로 기여할 수 있을지에 대한 질문",서비스에 대해 공부한 뒤 적절한 답변을 했습니다.
131,(주)알통,IT/웹/통신,"개인적인 질문을 다수 했으며 면접 분위기는 무척 좋은편""",지원한 직무 외 다른 직무를 시켜도 문제없는지에 대한 질문,"편하게 질문, 대답할 수 있는 환경을 만들어준다. 나쁘지않은편"
132,(주)닥터다이어리,IT/웹/통신,"최초 연락은 전화와 문자 연락, 25분간 면접 보고 끝난 후 20분 뒤 원티드로 불합 통보. 역대급으로 기분 나쁜 면접 경험이였습니다. 이럴거면 왜 불렀나요? HR담당자랑 PM만 들어오고 정작 PD는 들어오지도...""","1. 이력서 보고 대충 실무 경험 질문
2. 우리회사는 이렇게 진행하는데 할 수 있나요?
3. 작업 스타일",시작부터 끝나는 순간까지 기분 나빴어요. 평가질 하려고 사람 부른걸까요? 정시에 시작하지않고 사람 기다리게 했다가 포폴도 제대로 보지도 않았는지 대충 얘기하고 끝났어요. 면접 끝난 후 질문 타임에 궁금한거 물어봤더니 그걸 질문이냐고 하는 반응이였습니다. 저는 디자인 시스템과 문서화하는지 등 기본적인 업무 스타일을 여쭤봤어요. 그게 실례라면 죄송할...
133,(주)스마일서브,IT/웹/통신,"면접을 보고 합격을 하면 바로 연락이 온다""","iptables에 대한 것
리눅스 시스템에 관한것
교대근무에 관한것",면접 자체가 쉽고 분위기가 무겁지 않아 마음이 편했다
134,비씨랩스(주),IT/웹/통신,"실무에 대한 질문을 많이 했고 이력서를 보면서 그동안의 경험에 대한 질문을 많이 했습니다.""","지원동기, 업무강도, 스트레스 관리 방법",면접 분위기는 많이 딱딱하지 않고 편했습니다.
135,(주)딥브레인에이아이,IT/웹/통신,"사람인에서 5년차 경력직을 뽑는데 2년차로 경력 기술서와 포트폴리오, 자기 소개서를 첨부하여 지원했더니 2주 후에 면접 제안이 들어왔다.""","1. 주로 내가 작성한 Main Skill 소개 란을 보고 질문을 했고, Win API를 다룰 때 가장 기억에 남는 기술 하나에 대해 설명하는 질문이었다.

2. 게임에 인공지능을 활용한 경험을 질문했고 현재 회사에 어떤 식으로 적용할 수 있을지를 질문했다.

3. 최적화 관련 경험과 언리얼 엔진에서 UI List View에 관련된 질문이 나왔다.","4대 1면접으로 기술 및 인성, 실무가 섞인 면접의 느낌이었다. 약간은 딱딱한 분위기라 조금 긴장했지만 크게 공격적인 질문은 없었고, 지원자를 배려하거나 이해하려 노력하는 부분이 있어 편안한 느낌도 들었다."
136,(주)도구공간,IT/웹/통신,"1차 면접으로 끝남. 크게 전문적인 지식을 물어보기보다는 시키면 다 할 수 있는지(열정)을 파악하는 듯""","내 분야 말고 다른 것 할 수 있는지, OS가 다양한 환경에서도 일을 할 수 있는지",면접관도 깊게 아는 분야라기보다는 넓게 아는 분야라는 생각이 더 많이 들었음
137,(주)소프트파워,IT/웹/통신,"이력서 넣으니 1차 전화면접이라고 문자로 통보옴. 결과부터 말하면 내 시간이 정말 아까움. 물어보는 것도 전공을 뭘 그렇게 따지는지.. 말투도 무슨 AI가 말하는줄 꼰대성향이 다분합니다. 마지막에 연봉 얼마...""","해당 전공은 동기가 뭐였는지. 성격이 어떤지 , 고등학교 때 몇등했는지 등등 물어봄 정말 쓸때없는 질문이 많음",사실대로 답했고 가고싶지 않은 회사로 걸러져서 오히려 좋았음
138,(주)메이머스트,IT/웹/통신,"이력서에 아무것도 없어도 들어갈 수 있는 문턱이 매우 낮은 회사""",직무 경험이있나? 등.. 나머진 기억이 안남,대체적으로 압박면적은 없어서 편해서 좋앗음
139,세오(주),IT/웹/통신,"합격 전화와서 면접을 봤습니다.
면접은 면접관 두명과 함께 봤습니다.""","1. 기존에 했던 업무는 무엇인가?
2. 퇴직사유
3. 자기소개",편한 분위기에 면접봤습니다.
140,(주)나노스정보,IT/웹/통신,"당일 연락 후 당일 면접 진행.
(무조건 합격이라면서, 다른 곳 모두 합격 및 지원 포기하고 취업 활동도 하지 말라고 함)

회의실이나 별도 공간 없이, 사무실 내 구석에서 면접 봄.
(사무실을 살펴보니...""","경력 및 스킬 여부
음주 여부
흡엽 여부","면접관 태도 매우 예의 없음.

이력서도 미리 읽어보지 않고, 면접 진행하면서 읽어봄.

대단히 예의 없고 불쾌한 회사."
141,(주)비엔시스템,IT/웹/통신,"나라사업지원을 통해서 지원했던터라 그렇게 어렵지 않게 면접을 치뤘습니다.""","디자인관련질문, 프로그램 어떤거 쓸줄아는지, 어디서 사는지등 아이스브레이킹질문을 주셨습니다.",오래되서 기억이 잘안나요 ㅎㅎ
