,company,job,title,question,answer
20,(주)모카시스템,IT/웹/통신,"차분하게 기술면접. 이후 바로 이어지는 CTO님 면접. CTO님 상당히 좋은 분인것 같았습니다. 개발 로드맵도 있으시고. 하지만 안타깝게 불합격 ㅜㅠ""",가장 어려웠던 경험 및 해결과정에 대해 말씀해 주세요. 안드로이드 시스템 BLE 상세질문,기술면접 꼼꼼하게 챙김
21,(주)씨커스,IT/웹/통신,"면접 시 테스트를 보고 같이 풀이해보는 시간을 가짐""","공부하고 싶은 분야,
관심있는 기술 등",색다른 면접이었고 편한 분위기에서 볼 수 있었습니다.
22,아울시스템즈(주),IT/웹/통신,"직무의 대한 이해도 및 지원동기를 물어봤습니다.무난한 편이었던거 같습니다""",이루고자 하는 꿈이 무엇인지? 어떠한 목표가 있는지? 최종 목적지는 무엇인지?,구체적으로 이루고자 하는 바를 물어봤습니닺
23,(주)엔에스에이치씨,IT/웹/통신,"면접에는 포토폴리오나 면접 전에 보는 테스트에 관해 얘기를 하니 그거에 대해서 준비하시면 좋아요.""","테스트를 할 때 왜 이것을 이런 식으로 했는지 물어본 거(이 부분은 여러가지로 나뉠 수 있기 때문에 이런 식으로 적었음.)
그리고 회사에 다니게 되면 언제부터 다닐 수 있는지
또 회사에 다니면 출장이 있을 수 있는지 괜찮은지",면접을 하실 때 면접관이 최대한 예의를 갖추어서 면접을 하셨기 때문에 면접을 괜찮게 이어 갈 수 있었다.
24,시큐레터(주),IT/웹/통신,"회사 초창기 입사한 경우로 면접과정이 어렵지는 않았으며 현재도 까다롭지 않은걸로 알고 있습니다.""",과거 경력을 뵜을때 현재 기업에 알마니 기여할 수 있는지 질문 빋있습니다,"다양한 IT솔루션 경험과 시장상황, 경쟁사 동향 등을 파악하여 제안하겠습니다."
25,(주)두리안정보기술,IT/웹/통신,"서류 전형 합격 후에 바로 대표와의 면접이 있습니다. 그 후에 빠른 입사로 이어집니다. 팀내 분위기는 나쁘지 않습니다. 하지만 이 회사를 추천하지 않습니다.""","주말 근무 가능한지, 야근에 대해서, 술은 마시는지","면접 때의 대표의 태도가 정말 비상식적이었습니다. 예의가 없습니다. 특정될 수 있어서 자세히는 적지 못하지만, 전혀 미안함을 느끼지 않는 행태에 어이가 없었습니다. 그런데 또 합격을 시키네요? 면접보면 웬만하면 다 붙는다고 생각하면 될 것같습니다."
26,(주)이지스아이티,IT/웹/통신,"1:N 면접 진행 > 채용 합격 통보 및 급여, 복지에 대한 설명 > 동의 > 채용""","컨설팅 업무 특징, 주 업무(인프라 진단, 모의해킹 등)에 대한 기술 내용","면접 당시 질의 응답 시간이 존재하였고, 실제 컨설팅 업무 특징 및 업무 스킬 등에 대해 설명을 들을 수 있었음"
27,(주)칸나로정보통신,IT/웹/통신,"채용사이트에서 지원하고 전화로 연락이왔습니다. 그리고 면접일정을 잡고 면접을 봤습니다.""","가족관계와 부모님성격, 회사를 정하는 기준, 1분자기소개, 마지막 인삿말, mbti, 성격","이력서를 아주 꼼꼼하게 확인해가면서 질문을 해주십니다. 너무 꼬리질문이 많아서 조금 힘들었고, 다대일 아니면 일대일인대 면접시간이 너~~~~무 길어요. 거의 혼자서 1시간 봤습니다. 목이 쉴정도로..."
28,아이리노테크(주),IT/웹/통신,"지원 후 따로 연락옴, 1대 1 면접으로 진행""",기술질문으로 프로젝트 진행했던것과 역할 상세히 물어봄,어려운 질문이 없었음
29,(주)업루트,IT/웹/통신,"잡코리아에 뜬 공고를 보고 입사 지원(이력서/포폴 첨부) - 면접 일정 잡고 면접 - 결과 통보""",특정 기술에 대한 이해도 질문 3가지,잘 알지도 못하면서 괜히 느낌내려고 억지로 질문을 짜내는 느낌.
